Rainfall,Date
6.406572205,1/4/2015
12.31010333,1/11/2015
15.30240245,1/18/2015
11.72417234,1/25/2015
16.97744435,2/1/2015
14.7155861,2/8/2015
14.36941542,2/15/2015
14.46283013,2/22/2015
15.10089321,3/1/2015
15.47389156,3/8/2015
12.13423299,3/15/2015
14.31369554,3/22/2015
16.2110388,3/29/2015
13.94797348,4/5/2015
13.20765551,4/12/2015
14.92303888,4/19/2015
12.52976998,4/26/2015
13.9524358,5/3/2015
13.56647783,5/10/2015
12.84225441,5/17/2015
14.61058652,5/24/2015
14.45662021,5/31/2015
11.76826363,6/7/2015
13.81127042,6/14/2015
13.1549738,6/21/2015
15.72554414,6/28/2015
14.24325746,7/5/2015
12.6334504,7/12/2015
12.75790523,7/19/2015
13.00608335,7/26/2015
13.68650597,8/2/2015
14.09798605,8/9/2015
13.75115036,8/16/2015
13.65597201,8/23/2015
14.57873454,8/30/2015
14.27718012,9/6/2015
14.24843002,9/13/2015
13.36824742,9/20/2015
14.68619473,9/27/2015
16.01069708,10/4/2015
13.4020278,10/11/2015
9.204755015,10/18/2015
12.45262413,10/25/2015
13.92096383,11/1/2015
14.47747937,11/8/2015
14.2251616,11/15/2015
12.65098316,11/22/2015
12.506671,11/29/2015
14.35709445,12/6/2015
14.3148046,12/13/2015
14.33080933,12/20/2015
14.22108936,12/27/2015
5.351215719,12/31/2015
