SnowFall,Date
182,1/4/2015
323,1/11/2015
295,1/18/2015
300,1/25/2015
312,2/1/2015
292,2/8/2015
310,2/15/2015
262,2/22/2015
300,3/1/2015
270,3/8/2015
292,3/15/2015
279,3/22/2015
233,3/29/2015
220,4/5/2015
292,4/12/2015
258,4/19/2015
311,4/26/2015
290,5/3/2015
339,5/10/2015
334,5/17/2015
274,5/24/2015
262,5/31/2015
275,6/7/2015
278,6/14/2015
299,6/21/2015
257,6/28/2015
313,7/5/2015
252,7/12/2015
270,7/19/2015
308,7/26/2015
310,8/2/2015
354,8/9/2015
348,8/16/2015
313,8/23/2015
338,8/30/2015
310,9/6/2015
263,9/13/2015
289,9/20/2015
288,9/27/2015
279,10/4/2015
313,10/11/2015
321,10/18/2015
267,10/25/2015
301,11/1/2015
344,11/8/2015
307,11/15/2015
344,11/22/2015
302,11/29/2015
315,12/6/2015
321,12/13/2015
264,12/20/2015
315,12/27/2015
185,12/31/2015
